model,training_size,run_id,seed,auroc,f1,accuracy,precision,recall
logistic_regression,200,12,3054,0.6675,0.5753424657534246,0.6125,0.6363636363636364,0.525
logistic_regression,200,13,3055,0.650625,0.5405405405405406,0.575,0.5882352941176471,0.5
logistic_regression,200,14,3056,0.6075,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,200,15,3057,0.6487499999999999,0.5405405405405406,0.575,0.5882352941176471,0.5
logistic_regression,200,16,3058,0.68375,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,200,17,3059,0.630625,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,200,18,3060,0.7250000000000001,0.6486486486486487,0.675,0.7058823529411765,0.6
logistic_regression,200,19,3061,0.585,0.5263157894736842,0.55,0.5555555555555556,0.5
logistic_regression,240,0,4042,0.6881250000000001,0.6575342465753424,0.6875,0.7272727272727273,0.6
logistic_regression,240,1,4043,0.6318750000000001,0.6216216216216216,0.65,0.6764705882352942,0.575
logistic_regression,240,2,4044,0.66625,0.5555555555555556,0.6,0.625,0.5
logistic_regression,240,3,4045,0.65125,0.5352112676056338,0.5875,0.6129032258064516,0.475
logistic_regression,240,4,4046,0.645,0.6027397260273972,0.6375,0.6666666666666666,0.55
logistic_regression,240,5,4047,0.6699999999999999,0.6052631578947368,0.625,0.6388888888888888,0.575
logistic_regression,240,6,4048,0.635625,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,240,7,4049,0.6675,0.547945205479452,0.5875,0.6060606060606061,0.5
logistic_regression,240,8,4050,0.68,0.6301369863013698,0.6625,0.696969696969697,0.575
logistic_regression,240,9,4051,0.61875,0.5352112676056338,0.5875,0.6129032258064516,0.475
logistic_regression,240,10,4052,0.649375,0.6,0.6,0.6,0.6
logistic_regression,240,11,4053,0.6412500000000001,0.5753424657534246,0.6125,0.6363636363636364,0.525
logistic_regression,240,12,4054,0.6331249999999999,0.5277777777777778,0.575,0.59375,0.475
logistic_regression,240,13,4055,0.67125,0.5753424657534246,0.6125,0.6363636363636364,0.525
logistic_regression,240,14,4056,0.6381249999999999,0.56,0.5875,0.6,0.525
logistic_regression,240,15,4057,0.666875,0.6216216216216216,0.65,0.6764705882352942,0.575
logistic_regression,240,16,4058,0.6924999999999999,0.647887323943662,0.6875,0.7419354838709677,0.575
logistic_regression,240,17,4059,0.558125,0.5070422535211268,0.5625,0.5806451612903226,0.45
logistic_regression,240,18,4060,0.6756250000000001,0.5974025974025974,0.6125,0.6216216216216216,0.575
logistic_regression,240,19,4061,0.636875,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,280,0,5042,0.6431250000000001,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,280,1,5043,0.63,0.5633802816901409,0.6125,0.6451612903225806,0.5
logistic_regression,280,2,5044,0.6499999999999999,0.5070422535211268,0.5625,0.5806451612903226,0.45
logistic_regression,280,3,5045,0.6806249999999999,0.6388888888888888,0.675,0.71875,0.575
logistic_regression,280,4,5046,0.651875,0.5428571428571428,0.6,0.6333333333333333,0.475
logistic_regression,280,5,5047,0.66375,0.6216216216216216,0.65,0.6764705882352942,0.575
logistic_regression,280,6,5048,0.638125,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,280,7,5049,0.639375,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,280,8,5050,0.64,0.5882352941176471,0.65,0.7142857142857143,0.5
logistic_regression,280,9,5051,0.684375,0.6027397260273972,0.6375,0.6666666666666666,0.55
logistic_regression,280,10,5052,0.688125,0.6133333333333333,0.6375,0.6571428571428571,0.575
logistic_regression,280,11,5053,0.6325000000000001,0.5753424657534246,0.6125,0.6363636363636364,0.525
logistic_regression,280,12,5054,0.6606249999999999,0.5555555555555556,0.6,0.625,0.5
logistic_regression,280,13,5055,0.724375,0.6756756756756757,0.7,0.7352941176470589,0.625
logistic_regression,280,14,5056,0.64125,0.5633802816901409,0.6125,0.6451612903225806,0.5
logistic_regression,280,15,5057,0.6443749999999999,0.5428571428571428,0.6,0.6333333333333333,0.475
logistic_regression,280,16,5058,0.668125,0.5277777777777778,0.575,0.59375,0.475
logistic_regression,280,17,5059,0.6606249999999999,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,280,18,5060,0.595,0.5205479452054794,0.5625,0.5757575757575758,0.475
logistic_regression,280,19,5061,0.64875,0.5428571428571428,0.6,0.6333333333333333,0.475
logistic_regression,320,0,6042,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,1,6043,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,2,6044,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,3,6045,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,4,6046,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,5,6047,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,6,6048,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,7,6049,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,8,6050,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,9,6051,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,10,6052,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,11,6053,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,12,6054,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,13,6055,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,14,6056,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,15,6057,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,16,6058,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,17,6059,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,18,6060,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,320,19,6061,0.6587500000000001,0.5833333333333334,0.625,0.65625,0.525
random_forest,80,0,42,0.6409374999999999,0.6027397260273972,0.6375,0.6666666666666666,0.55
random_forest,80,1,43,0.5103125,0.5,0.5,0.5,0.5
random_forest,80,2,44,0.775625,0.676056338028169,0.7125,0.7741935483870968,0.6
random_forest,80,3,45,0.5621875,0.5121951219512195,0.5,0.5,0.525
random_forest,80,4,46,0.71875,0.691358024691358,0.6875,0.6829268292682927,0.7
random_forest,80,5,47,0.5687500000000001,0.5194805194805194,0.5375,0.5405405405405406,0.5
random_forest,80,6,48,0.7003125,0.6666666666666666,0.6625,0.6585365853658537,0.675
random_forest,80,7,49,0.7471875,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,80,8,50,0.733125,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,80,9,51,0.686875,0.6024096385542169,0.5875,0.5813953488372093,0.625
random_forest,80,10,52,0.7725000000000002,0.7407407407407407,0.7375,0.7317073170731707,0.75
random_forest,80,11,53,0.4596875,0.39436619718309857,0.4625,0.45161290322580644,0.35
random_forest,80,12,54,0.6778125,0.6329113924050633,0.6375,0.6410256410256411,0.625
random_forest,80,13,55,0.6953125000000001,0.6753246753246753,0.6875,0.7027027027027027,0.65
random_forest,80,14,56,0.619375,0.4864864864864865,0.525,0.5294117647058824,0.45
random_forest,80,15,57,0.6971875,0.6666666666666666,0.6375,0.6170212765957447,0.725
random_forest,80,16,58,0.7234375000000001,0.6216216216216216,0.65,0.6764705882352942,0.575
random_forest,80,17,59,0.7081249999999999,0.7,0.7,0.7,0.7
random_forest,80,18,60,0.6187500000000001,0.5333333333333333,0.5625,0.5714285714285714,0.5
random_forest,80,19,61,0.7228125000000001,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,120,0,1042,0.73875,0.6197183098591549,0.6625,0.7096774193548387,0.55
random_forest,120,1,1043,0.6878125,0.6027397260273972,0.6375,0.6666666666666666,0.55
random_forest,120,2,1044,0.7084374999999999,0.6829268292682927,0.675,0.6666666666666666,0.7
random_forest,120,3,1045,0.5715625,0.48,0.5125,0.5142857142857142,0.45
random_forest,120,4,1046,0.6825,0.5974025974025974,0.6125,0.6216216216216216,0.575
random_forest,120,5,1047,0.666875,0.5789473684210527,0.6,0.6111111111111112,0.55
random_forest,120,6,1048,0.74375,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,120,7,1049,0.7015625000000001,0.5797101449275363,0.6375,0.6896551724137931,0.5
random_forest,120,8,1050,0.5706249999999999,0.5121951219512195,0.5,0.5,0.525
random_forest,120,9,1051,0.67375,0.6133333333333333,0.6375,0.6571428571428571,0.575
random_forest,120,10,1052,0.5878125000000001,0.5454545454545454,0.5625,0.5675675675675675,0.525
random_forest,120,11,1053,0.545625,0.5135135135135135,0.55,0.5588235294117647,0.475
random_forest,120,12,1054,0.6403125000000001,0.5555555555555556,0.6,0.625,0.5
random_forest,120,13,1055,0.65875,0.6097560975609756,0.6,0.5952380952380952,0.625
random_forest,120,14,1056,0.7240625,0.6233766233766234,0.6375,0.6486486486486487,0.6
random_forest,120,15,1057,0.6634375000000001,0.5974025974025974,0.6125,0.6216216216216216,0.575
random_forest,120,16,1058,0.610625,0.5714285714285714,0.5875,0.5945945945945946,0.55
random_forest,120,17,1059,0.618125,0.5333333333333333,0.5625,0.5714285714285714,0.5
random_forest,120,18,1060,0.7046874999999999,0.5945945945945946,0.625,0.6470588235294118,0.55
random_forest,120,19,1061,0.651875,0.5675675675675675,0.6,0.6176470588235294,0.525
random_forest,160,0,2042,0.7115625000000001,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,160,1,2043,0.749375,0.6060606060606061,0.675,0.7692307692307693,0.5
random_forest,160,2,2044,0.6375000000000001,0.6233766233766234,0.6375,0.6486486486486487,0.6
random_forest,160,3,2045,0.6575,0.6153846153846154,0.625,0.631578947368421,0.6
random_forest,160,4,2046,0.6734375,0.5789473684210527,0.6,0.6111111111111112,0.55
random_forest,160,5,2047,0.7715625,0.7073170731707317,0.7,0.6904761904761905,0.725
random_forest,160,6,2048,0.6621874999999999,0.5789473684210527,0.6,0.6111111111111112,0.55
random_forest,160,7,2049,0.7131249999999999,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,160,8,2050,0.6753125000000002,0.6585365853658537,0.65,0.6428571428571429,0.675
random_forest,160,9,2051,0.6581250000000001,0.6133333333333333,0.6375,0.6571428571428571,0.575
random_forest,160,10,2052,0.655625,0.5925925925925926,0.5875,0.5853658536585366,0.6
random_forest,160,11,2053,0.66,0.5882352941176471,0.65,0.7142857142857143,0.5
random_forest,160,12,2054,0.6759375000000001,0.6052631578947368,0.625,0.6388888888888888,0.575
random_forest,160,13,2055,0.669375,0.6419753086419753,0.6375,0.6341463414634146,0.65
random_forest,160,14,2056,0.5709375,0.47368421052631576,0.5,0.5,0.45
random_forest,160,15,2057,0.5815625,0.5783132530120482,0.5625,0.5581395348837209,0.6
random_forest,160,16,2058,0.6256249999999999,0.5789473684210527,0.6,0.6111111111111112,0.55
random_forest,160,17,2059,0.580625,0.5641025641025641,0.575,0.5789473684210527,0.55
random_forest,160,18,2060,0.6471874999999999,0.5277777777777778,0.575,0.59375,0.475
random_forest,160,19,2061,0.6715625000000001,0.5714285714285714,0.5875,0.5945945945945946,0.55
random_forest,200,0,3042,0.7871874999999999,0.6578947368421053,0.675,0.6944444444444444,0.625
random_forest,200,1,3043,0.6953125,0.6666666666666666,0.6875,0.7142857142857143,0.625
random_forest,200,2,3044,0.7253125000000001,0.6301369863013698,0.6625,0.696969696969697,0.575
random_forest,200,3,3045,0.59625,0.5526315789473685,0.575,0.5833333333333334,0.525
random_forest,200,4,3046,0.6571875,0.5277777777777778,0.575,0.59375,0.475
random_forest,200,5,3047,0.666875,0.56,0.5875,0.6,0.525
random_forest,200,6,3048,0.6925,0.5915492957746479,0.6375,0.6774193548387096,0.525
random_forest,200,7,3049,0.6821875000000001,0.6172839506172839,0.6125,0.6097560975609756,0.625
random_forest,200,8,3050,0.6462500000000001,0.5789473684210527,0.6,0.6111111111111112,0.55
random_forest,200,9,3051,0.674375,0.6097560975609756,0.6,0.5952380952380952,0.625
