model,training_size,n_repeats,n_pairs,pearson_mean,pearson_lo,pearson_hi,spearman_mean,spearman_lo,spearman_hi,jaccard3_mean,jaccard3_lo,jaccard3_hi,jaccard5_mean,jaccard5_lo,jaccard5_hi,jaccard10_mean,jaccard10_lo,jaccard10_hi
random_forest,240,20,190,0.8034053252562351,0.5706711079399054,0.9417279424577769,0.690080971659919,0.40604395604395604,0.9041208791208791,0.5373684210526316,0.2,1.0,0.5864035087719298,0.42857142857142855,1.0,0.7352349404980985,0.5384615384615384,1.0
random_forest,280,20,190,0.8707181782292576,0.7087863850026693,0.9600625906509069,0.8426257952573744,0.6703296703296703,0.9505494505494506,0.671578947368421,0.2,1.0,0.7348370927318297,0.42857142857142855,1.0,0.8177892283155441,0.6666666666666666,1.0
random_forest,320,20,190,0.9608723189274847,0.9237494715271024,0.9845344930968273,0.9323019086176982,0.8736263736263737,0.9835164835164836,0.7289473684210527,0.5,1.0,0.9105263157894739,0.6666666666666666,1.0,0.8736842105263158,0.8181818181818182,1.0
svm_rbf,80,20,190,0.2770204862118097,-0.3572696484056359,0.7803098127907948,0.26949103528050894,-0.33324175824175817,0.7157967032967033,0.2547368421052632,0.0,0.5,0.34866332497911445,0.1111111111111111,0.6666666666666666,0.6930560667402773,0.5384615384615384,0.8181818181818182
svm_rbf,120,20,190,0.37309194843985327,-0.1497875526133953,0.7716327145594616,0.39094852515905154,-0.02898351648351648,0.7747252747252747,0.2726315789473685,0.0,0.5,0.37345446950710115,0.1111111111111111,0.6666666666666666,0.7593914857072751,0.5384615384615384,1.0
svm_rbf,160,20,190,0.41263533497032,-0.041296885531794815,0.8011324687026694,0.404569115095431,-0.04409340659340656,0.7817307692307692,0.3073684210526316,0.0,0.6375000000000028,0.3623851294903927,0.1111111111111111,0.6666666666666666,0.7263280579070053,0.5384615384615384,1.0
svm_rbf,200,20,190,0.5761591941100465,0.18942018619921938,0.8621095870917133,0.6511567379988432,0.24615384615384617,0.8766483516483518,0.3194736842105264,0.0,0.5,0.4971177944862157,0.25,1.0,0.8067353698932646,0.5384615384615384,1.0
svm_rbf,240,20,190,0.756166218319589,0.4775702720059499,0.9356153952714933,0.754222093695778,0.496978021978022,0.9245879120879121,0.548421052631579,0.2,1.0,0.5852130325814537,0.42857142857142855,1.0,0.7958532695374799,0.6666666666666666,1.0
svm_rbf,280,20,190,0.8209370837176655,0.578107937306535,0.9426735709221613,0.8447079236552922,0.6383241758241759,0.9520604395604396,0.6294736842105263,0.2,1.0,0.6169172932330828,0.42857142857142855,1.0,0.8609250398724082,0.6666666666666666,1.0
svm_rbf,320,20,190,0.9990409917631002,0.9978181339958411,0.9996955813396509,0.9947368421052631,0.9835164835164836,1.0,1.0,1.0,1.0,0.8877192982456141,0.6666666666666666,1.0,1.0,1.0,1.0
