model,training_size,run_id,seed,feature_name,mean_abs_shap
logistic_regression,80,10,52,content_density,0.02877456006977433
logistic_regression,80,10,52,noun_ratio,0.001075357061889355
logistic_regression,80,10,52,verb_ratio,0.022915366783353805
logistic_regression,80,10,52,adjective_ratio,0.07643128338348479
logistic_regression,80,10,52,adverb_ratio,0.004300155212956744
logistic_regression,80,10,52,pronoun_ratio,0.08741690000379133
logistic_regression,80,10,52,determiner_ratio,0.0576014295812276
logistic_regression,80,11,53,word_count,0.3967863107194707
logistic_regression,80,11,53,sentence_count,0.1454255051761253
logistic_regression,80,11,53,type_token_ratio,0.4846808343041225
logistic_regression,80,11,53,filler_count,0.028111419181573876
logistic_regression,80,11,53,filler_ratio,0.23678389590056387
logistic_regression,80,11,53,mean_clause_length,0.004307914728088092
logistic_regression,80,11,53,content_density,0.24491094939936478
logistic_regression,80,11,53,noun_ratio,0.16535983945281457
logistic_regression,80,11,53,verb_ratio,0.1030461203658938
logistic_regression,80,11,53,adjective_ratio,0.10467652409507447
logistic_regression,80,11,53,adverb_ratio,0.12348283042254868
logistic_regression,80,11,53,pronoun_ratio,0.18112190578124188
logistic_regression,80,11,53,determiner_ratio,0.49189351622384503
logistic_regression,80,12,54,word_count,0.29614984306901204
logistic_regression,80,12,54,sentence_count,0.5991074609823515
logistic_regression,80,12,54,type_token_ratio,0.22307835026046208
logistic_regression,80,12,54,filler_count,0.04541638002999407
logistic_regression,80,12,54,filler_ratio,0.3936377766801703
logistic_regression,80,12,54,mean_clause_length,0.39386243732210746
logistic_regression,80,12,54,content_density,0.20625334061734996
logistic_regression,80,12,54,noun_ratio,0.38862915400995013
logistic_regression,80,12,54,verb_ratio,0.3414178349801526
logistic_regression,80,12,54,adjective_ratio,0.4010141158271283
logistic_regression,80,12,54,adverb_ratio,0.3074801278583581
logistic_regression,80,12,54,pronoun_ratio,0.32893566932514806
logistic_regression,80,12,54,determiner_ratio,0.07223048179655982
logistic_regression,80,13,55,word_count,0.1266615626903961
logistic_regression,80,13,55,sentence_count,0.22279908588003905
logistic_regression,80,13,55,type_token_ratio,0.4393675476933545
logistic_regression,80,13,55,filler_count,0.2844133879604497
logistic_regression,80,13,55,filler_ratio,0.30919196617609745
logistic_regression,80,13,55,mean_clause_length,0.2103184800061725
logistic_regression,80,13,55,content_density,0.15973447721982983
logistic_regression,80,13,55,noun_ratio,0.11063200007687671
logistic_regression,80,13,55,verb_ratio,0.013822026505525154
logistic_regression,80,13,55,adjective_ratio,0.012834832429734527
logistic_regression,80,13,55,adverb_ratio,0.013216955647331519
logistic_regression,80,13,55,pronoun_ratio,0.17265667187000658
logistic_regression,80,13,55,determiner_ratio,0.10439803349869645
logistic_regression,80,14,56,word_count,0.17367989704481443
logistic_regression,80,14,56,sentence_count,0.10869530929644074
logistic_regression,80,14,56,type_token_ratio,0.9323669828292267
logistic_regression,80,14,56,filler_count,0.18711780953478505
logistic_regression,80,14,56,filler_ratio,0.05110856240290904
logistic_regression,80,14,56,mean_clause_length,0.031936058627227815
logistic_regression,80,14,56,content_density,0.4971349940103087
logistic_regression,80,14,56,noun_ratio,0.12662199578042296
logistic_regression,80,14,56,verb_ratio,0.23530421798386136
logistic_regression,80,14,56,adjective_ratio,0.03225630878544701
logistic_regression,80,14,56,adverb_ratio,0.3060536821600796
logistic_regression,80,14,56,pronoun_ratio,0.3594159294707349
logistic_regression,80,14,56,determiner_ratio,0.4599105890637018
logistic_regression,80,15,57,word_count,0.12653807846451132
logistic_regression,80,15,57,sentence_count,0.09246780187970158
logistic_regression,80,15,57,type_token_ratio,0.46880035068118414
logistic_regression,80,15,57,filler_count,0.4309505040985416
logistic_regression,80,15,57,filler_ratio,0.09787539510358305
logistic_regression,80,15,57,mean_clause_length,0.07257654243661554
logistic_regression,80,15,57,content_density,0.07957953327072449
logistic_regression,80,15,57,noun_ratio,0.03648291586542306
logistic_regression,80,15,57,verb_ratio,0.13825300799276727
logistic_regression,80,15,57,adjective_ratio,0.14841203036764605
logistic_regression,80,15,57,adverb_ratio,0.1787337696268427
logistic_regression,80,15,57,pronoun_ratio,0.3344597449309897
logistic_regression,80,15,57,determiner_ratio,0.11287076682722748
logistic_regression,80,16,58,word_count,0.3542662387221428
logistic_regression,80,16,58,sentence_count,0.22418276838308474
logistic_regression,80,16,58,type_token_ratio,0.43401717892940184
logistic_regression,80,16,58,filler_count,0.5632821698492056
logistic_regression,80,16,58,filler_ratio,0.27968771518789737
logistic_regression,80,16,58,mean_clause_length,0.024804795442245536
logistic_regression,80,16,58,content_density,0.564241088457318
logistic_regression,80,16,58,noun_ratio,0.11650080934029652
logistic_regression,80,16,58,verb_ratio,0.15969280963894514
logistic_regression,80,16,58,adjective_ratio,0.3135781582298713
logistic_regression,80,16,58,adverb_ratio,0.2884226899068409
logistic_regression,80,16,58,pronoun_ratio,0.22242524101665184
logistic_regression,80,16,58,determiner_ratio,0.3275565371079211
logistic_regression,80,17,59,word_count,0.42343959250184743
logistic_regression,80,17,59,sentence_count,0.2603988249736878
logistic_regression,80,17,59,type_token_ratio,0.18853989782551697
logistic_regression,80,17,59,filler_count,0.43541304947905174
logistic_regression,80,17,59,filler_ratio,0.07041854433573744
logistic_regression,80,17,59,mean_clause_length,0.27102585954341046
logistic_regression,80,17,59,content_density,0.27665097108564984
logistic_regression,80,17,59,noun_ratio,0.07685901024619282
logistic_regression,80,17,59,verb_ratio,0.37895955714603635
logistic_regression,80,17,59,adjective_ratio,0.17631457870120987
logistic_regression,80,17,59,adverb_ratio,0.14292515420734597
logistic_regression,80,17,59,pronoun_ratio,0.25527988932861145
logistic_regression,80,17,59,determiner_ratio,0.16063601080613732
logistic_regression,80,18,60,word_count,0.1942223921834711
logistic_regression,80,18,60,sentence_count,0.3153513399564265
logistic_regression,80,18,60,type_token_ratio,0.37334380081248586
logistic_regression,80,18,60,filler_count,0.2740986757845381
logistic_regression,80,18,60,filler_ratio,0.19548973339828285
logistic_regression,80,18,60,mean_clause_length,0.03041356404964794
logistic_regression,80,18,60,content_density,0.11032924187820817
logistic_regression,80,18,60,noun_ratio,0.07454684875671187
